PDB code,Resolution,Clashscore,Rotamer outliers [%],Ramachandran outliers [%],RSRZ outliers [%],Year,Contains protein,R [%],R free [%],Deposition date,Journal,ISSN,Q1,Q1_min,Q1 percentile,Q1_min percentile
6bna,2.21,4.91,,,0.0,1984.0,False,19.47368261689008,24.13374422773968,1984-08-30,J MOL BIOL,0022-2836,0.6215165650041861,0.5432364549695012,0.7179763186221744,0.823286688195192
7bna,1.9,6.6,,,0.0,1985.0,False,18.600935110515998,22.990381415836037,1985-01-07,ACTA CRYST B,0108-7681,0.635390503528286,0.5312163616792249,0.7409400789379261,0.8153928955866523
1vtq,3.0,51.72,,,2.5809694633580875,1985.0,False,24.72644095603586,30.66179967931848,1985-06-11,ACTA CRYST B,0108-7681,0.11170912570266715,0.03767491926803014,0.02583423035522067,0.09974883387154647
2ana,2.5,1.99,,,0.7579548168186676,1985.0,False,20.358977420371687,25.150667717228686,1985-08-05,J MOL BIOL,0022-2836,0.5394689630426983,0.39648367420165054,0.5618945102260495,0.7179763186221744
1tra,3.0,59.59,,,2.9449338317093066,1986.0,False,25.189093463644895,31.198913597633673,1986-05-16,BIOCHEMISTRY,0006-2960,0.09639995215883268,0.02726946537495515,0.021169716541083603,0.07337639038392536
1tn2,3.0,27.77,,,1.5983542595946716,1986.0,False,23.335148249656292,28.89041278704907,1986-08-22,BIOCHEMISTRY,0006-2960,0.18568353067814855,0.10782203085755293,0.0617151058485827,0.26820954431288124
8bna,2.2,33.37,,,2.2857259539141097,1986.0,False,21.309394084264937,26.25143247849953,1986-08-29,J MOL BIOL,0022-2836,0.21791651716301877,0.0792967348403301,0.08503767491926803,0.2025475421600287
1dn4,1.6,0.0,,,1.211342891707524,1986.0,False,17.601118004861533,21.546541198889273,1986-12-01,J MOL BIOL,0022-2836,0.697524219590958,0.36526731252242556,0.8292070326515967,0.6831718693936132
1dn5,1.4,0.0,,,0.0,1986.0,False,16.72133457903034,20.54862372171005,1986-12-01,J MOL BIOL,0022-2836,0.831120679344576,0.7104413347685683,0.9666307857911733,0.9535342662360962
1tn1,3.0,27.77,,,1.2642648242513488,1986.0,False,22.7,28.30464852076957,1986-12-04,BIOCHEMISTRY,0006-2960,0.20481999760794165,0.10782203085755293,0.077502691065662,0.26820954431288124
1dn6,3.0,126.76,,,5.818394385679575,1987.0,False,29.106772721396112,36.0381676186411,1987-05-11,NATURE,0028-0836,0.03540246382011721,0.0032292787944025836,0.0032292787944025836,0.00897021887334051
1dn8,1.5,58.82,,,3.78774108824593,1987.0,False,20.738293133780537,25.399356611692845,1987-05-12,J BIOMOL STRUCT DYN,0739-1102,0.19758402105011363,0.02798708288482239,0.0721205597416577,0.07445281664872623
9dna,1.8,0.0,,,0.0,1987.0,False,17.953036727219995,22.08007090904792,1987-07-10,NUCLEIC ACIDS RES,0305-1048,0.8012199497667742,0.7104413347685683,0.943308216720488,0.9535342662360962
3tra,3.0,58.49,,,0.0,1987.0,False,24.623327589782505,30.68911497550066,1987-11-06,ACTA CRYST A,0108-7673,0.2657576844875015,0.02906350914962325,0.12378902045209902,0.07804090419806244
4tra,3.0,36.57,,,2.0016749762194976,1987.0,False,23.8519858310871,29.494997030752156,1987-11-06,ACTA CRYST A,0108-7673,0.15069967707212054,0.07068532472192321,0.041621815572299964,0.18101901686401148
2tra,3.0,44.37,,,0.0,1987.0,False,23.906703550136108,29.748130907949434,1987-11-06,ACTA CRYST A,0108-7673,0.28106685803133596,0.05166846071044134,0.1377825618945102,0.13527090060997488
1dnh,2.25,46.74,,,2.8852102785251077,1988.0,False,22.24361642393822,27.34404813572219,1988-02-16,NUCLEIC ACIDS RES,0305-1048,0.15978949886377228,0.04628632938643703,0.04772156440617151,0.12199497667743094
3dnb,1.3,0.0,,,0.0,1988.0,False,16.408402106617196,20.07814996037788,1988-03-18,J MOL BIOL,0022-2836,0.8382968544432484,0.7104413347685683,0.9691424470757086,0.9535342662360962
1d16,2.1,75.25,,,0.0,1988.0,False,22.695375920382588,28.233726954338476,1988-04-12,J MOL BIOL,0022-2836,0.2923095323525894,0.016505202726946538,0.15069967707212056,0.043595263724434875
3ana,2.5,3.97,,,0.0,1988.0,False,20.311671535644244,25.05387594163996,1988-07-06,NUCLEIC ACIDS RES,0305-1048,0.602380098074393,0.4406171510584858,0.682454251883746,0.7581628991747399
1vty,1.3,31.91,,,2.7924594763709862,1988.0,False,18.586532937813324,22.65191214906953,1988-08-18,J BIOMOL STRUCT DYN,0739-1102,0.33745963401507,0.08557588805166846,0.2077502691065662,0.21600287047003947
1vtr,1.04,0.0,,,1.5884470756600422,1988.0,False,15.962934296417025,19.347174650581678,1988-08-18,BIOPOLYMERS,0006-3525,0.7225212295180002,0.33476856835306784,0.8593469680660208,0.6426264800861141
1vtt,1.0,0.0,,,1.6109664372398669,1988.0,False,15.845332802480677,19.19491198880084,1988-08-18,EMBO J,0261-4189,0.7233584499461787,0.3310010764262648,0.8609616074632221,0.6359885181198421
1vt5,2.25,7.97,,,3.3591434651739434,1988.0,False,24.0,28.22629553459668,1988-08-18,J BIOMOL STRUCT DYN,0739-1102,0.2673723238847028,0.15034086831718693,0.12594187298170076,0.3519913885898816
1vt6,2.25,19.92,,,0.02250225917938309,1988.0,False,17.4,22.378391690725344,1988-08-18,PNAS,0027-8424,0.4406171510584858,0.17653390742734124,0.3760315751704342,0.4038392536777897
1vtc,2.25,37.34,,,2.4874149303831388,1988.0,False,21.695939333696458,26.66209000814534,1988-08-18,PNAS,0027-8424,0.19495275684726707,0.06781485468245425,0.06996770721205597,0.17384284176533907
1vtw,1.2,2.62,,,1.6092445029717837,1988.0,False,16.58599069518722,20.146302988582793,1988-08-18,CELL,0092-8674,0.6469919866044731,0.33225690706853245,0.7603157517043416,0.6376031575170434
2dcg,0.9,24.72,,,2.713381969494712,1988.0,False,16.99160328793517,20.607660112401916,1988-08-29,NATURE,0028-0836,0.39851692381294107,0.1284535342662361,0.30893433799784714,0.3078579117330463
1dcg,1.0,0.0,,,1.6109664372398669,1988.0,False,15.845332802480677,19.19491198880084,1988-08-29,J BIOL CHEM,0021-9258,0.7233584499461787,0.3310010764262648,0.8609616074632221,0.6359885181198421
4dnb,2.0,40.11,,,2.745383611996779,1988.0,False,21.122319947654923,25.911408373439407,1988-08-29,J BIOL CHEM,0021-9258,0.2108599449826576,0.0599210620739146,0.08144958736993183,0.15392895586652314
2dnd,2.2,83.94,,,4.487613411444734,1988.0,False,24.264017509389447,29.85253282401304,1988-08-29,PNAS,0027-8424,0.07475182394450425,0.011840688912809472,0.014352350197344816,0.032113383566559024
1dne,2.4,119.46,,,5.878175195673563,1988.0,False,26.921545217942167,33.19077727031395,1988-09-14,BIOCHEMISTRY,0006-2960,0.03946896304269824,0.0046645138141370645,0.003588087549336204,0.012917115177610334
1dnf,1.5,2.67,,,1.4424652238259696,1988.0,False,17.470915075721734,21.29190038878784,1988-12-12,NUCLEIC ACIDS RES,0305-1048,0.6312642028465495,0.3491209185504126,0.7337639038392537,0.6609257265877287
1vtf,2.0,21.95,,,1.9768768543097224,1988.0,False,20.064254420124016,24.593923309950508,1988-12-13,BIOCHEMISTRY,0006-2960,0.3130008372204282,0.15392895586652314,0.17473986365267313,0.35844994617868675
1vtv,1.3,7.79,,,1.802650101417754,1989.0,False,17.1853354329932,20.868191971514147,1989-01-10,NUCLEIC ACIDS RES,0305-1048,0.5367778973806961,0.3114459992823825,0.5554359526372443,0.6114101184068891
1vj4,1.8,5.93,,,1.4424453851226673,1989.0,False,18.546983959553913,22.636534592998675,1989-01-11,J MOL BIOL,0022-2836,0.538153330941275,0.34947972730534627,0.5590240401865806,0.6618227484750628
1dns,2.0,33.21,,,2.484301459916402,1989.0,False,20.72442026134152,25.37697744661522,1989-02-22,BIOCHEMISTRY,0006-2960,0.24279392417174975,0.08001435235019734,0.10441334768568353,0.20380337280229638
1dn9,2.2,36.84,,,0.0,1989.0,False,18.9,24.01672252500841,1989-04-25,PNAS,0027-8424,0.4459394809233345,0.06978830283458916,0.38984571223537856,0.17850735557947614
1bdn,2.6,71.08,,,3.7491184653824448,1989.0,False,24.69488218181811,30.408338042618638,1989-07-25,PNAS,0027-8424,0.08408085157277838,0.01901686401148188,0.016146393972012917,0.050950843200574095
1bd1,1.6,5.93,,,0.0,1989.0,False,17.63258418729488,21.61218733975838,1989-08-16,J MOL BIOL,0022-2836,0.6838296854443248,0.5631503408683172,0.8101901686401148,0.832615715823466
1d10,1.5,17.12,,,2.084886335876554,1989.0,False,18.31694154649999,22.306384996406813,1989-10-20,BIOCHEMISTRY,0006-2960,0.4113144360722402,0.222102619303911,0.3297452457839971,0.482059562253319
1d12,1.7,30.61,,,2.543168171215207,1989.0,False,19.690923904198876,24.046380767120713,1989-10-20,BIOCHEMISTRY,0006-2960,0.29637603157517045,0.09293146752780768,0.15572299964119124,0.23322569070685326
1d13,2.0,3.26,,,1.2168577708895825,1989.0,False,18.97942783019888,23.204142774176216,1989-10-20,FEBS J,0014-2956,0.5726587728740581,0.3641908862576247,0.6315034086831719,0.6817366343738788
1d14,1.5,7.97,,,1.6976706512489983,1989.0,False,17.783830336317855,21.642564053074032,1989-10-20,J MOL BIOL,0022-2836,0.5206913048678388,0.3222102619303911,0.5224255471833513,0.624686042339433
1d11,1.18,0.0,,,1.5405458710481028,1989.0,False,16.378658128526368,19.846249325126585,1989-10-20,BIOCHEMISTRY,0006-2960,0.7174979069489296,0.338356655902404,0.8539648367420165,0.6489056332974524
5ana,2.25,11.81,,,1.437936253208619,1989.0,False,20.212590265340076,24.776076111453428,1989-10-31,J BIOMOL STRUCT DYN,0739-1102,0.3856596100944863,0.33745963401506995,0.28489415141729457,0.6465733763903839
9bna,1.9,19.79,,,2.00360008732968,1990.0,False,19.65263868823233,23.988872100253737,1990-02-01,J BIOMOL STRUCT DYN,0739-1102,0.34391819160387516,0.17743092931467527,0.21779691424470757,0.405453893074991
1rna,2.25,11.36,,,1.4498094198001326,1990.0,False,20.190490284564902,24.709584538126123,1990-02-01,J MOL BIOL,0022-2836,0.3905035282860902,0.34768568353067814,0.2917115177610334,0.6582346609257266
2dbe,2.5,6.3,,,1.094931020394462,1990.0,False,20.630686209260325,25.29412956515644,1990-03-19,EMBO J,0261-4189,0.4428298050472432,0.37244348762109797,0.3803372802296376,0.692859705776821
5dnb,1.4,12.5,,,0.0,1990.0,False,17.346838494850232,21.225893257279687,1990-03-22,J MOL BIOL,0022-2836,0.609616074632221,0.31575170434158595,0.6986006458557589,0.616254036598493
28dn,2.4,27.78,,,0.0,1990.0,False,17.0,22.23916276451216,1990-05-03,ACTA CRYST A,0108-7673,0.5180600406649922,0.10710441334768568,0.5163257983494798,0.2671331180480804
1vte,3.0,133.42,,,6.192986304455943,1990.0,False,29.50716357618088,36.41980828183903,1990-05-21,PNAS,0027-8424,0.03229278794402583,0.0028704700394689632,0.0028704700394689632,0.007893792608539648
1dnm,2.5,98.68,,,5.004328282240799,1990.0,False,26.013070208891605,31.996181887023372,1990-06-22,PNAS,0027-8424,0.05190766654706375,0.007534983853606028,0.0057409400789379264,0.020093290276282743
1d15,1.5,51.02,,,3.5504052693485804,1990.0,False,20.296193485916795,24.731942538214042,1990-07-03,NUCLEIC ACIDS RES,0305-1048,0.23143164693218518,0.03911015428776462,0.09580193756727665,0.10172228202368137
1d21,1.7,31.99,,,2.6324844747322302,1990.0,False,19.77544616546013,24.11265338245996,1990-08-08,BIOCHEMISTRY,0006-2960,0.28914005501734247,0.0844994617868676,0.14818801578758523,0.21438823107283816
1d22,1.8,43.7,,,3.0717375097978277,1990.0,False,20.75171572229366,25.342855746904046,1990-08-08,BIOCHEMISTRY,0006-2960,0.22210261930391104,0.053103695730175815,0.08934337997847147,0.13796196627197704
1d17,2.0,10.03,,,2.1778316899181505,1990.0,False,20.599999999999998,24.786008905439637,1990-08-08,BIOCHEMISTRY,0006-2960,0.37896184666905874,0.2752063150340868,0.27215644061715105,0.5583064226767133
1d24,1.9,18.32,,,0.0,1990.0,False,19.184626841351843,23.57673159423666,1990-08-29,BIOCHEMISTRY,0006-2960,0.507534983853606,0.20147111589522784,0.49892357373519913,0.44833153928955866
1d26,2.12,0.0,,,0.0,1990.0,False,18.93350277563632,23.21956362696489,1990-09-17,NUCLEIC ACIDS RES,0305-1048,0.765817485946657,0.6419088625762469,0.9088625762468604,0.876210979547901
1d28,2.7,27.74,,,0.0,1990.0,False,22.130569456114323,27.345270261929812,1990-12-18,BIOCHEMISTRY,0006-2960,0.3436789857672527,0.10853964836742017,0.21707929673484033,0.2696447793326157
1d30,2.4,18.94,,,0.0,1991.0,False,20.756277347399333,25.542093238431352,1991-01-04,J BIOMOL STRUCT DYN,0739-1102,0.42698241837100825,0.1919626838894869,0.35414424111948334,0.43218514531754576
1d32,1.7,31.79,,,2.6549373048381426,1991.0,False,19.76791206474458,24.064298993376717,1991-01-23,PNAS,0027-8424,0.2917115177610334,0.0861141011840689,0.15034086831718693,0.2181557229996412
1d33,1.5,0.0,,,1.4222241002443852,1991.0,False,17.327707286681417,20.996661335997256,1991-02-27,BIOCHEMISTRY,0006-2960,0.7048199976079417,0.3519913885898816,0.8388948690348045,0.6666666666666666
1vt9,2.5,11.9,,,0.0,1991.0,False,11.899999999999999,17.32731609297678,1991-04-11,NUCLEIC ACIDS RES,0305-1048,0.6637363951680421,0.334589163975601,0.7857911733046287,0.6420882669537137
1vta,2.5,3.97,,,1.0272451173575874,1991.0,False,20.4990508104368,25.091246366313765,1991-04-11,NUCLEIC ACIDS RES,0305-1048,0.491268986963282,0.38141370649443845,0.4721923214926444,0.703265159669896
1d27,2.0,11.72,,,0.0,1991.0,False,19.15591748906113,23.49055265744926,1991-04-22,PNAS,0027-8424,0.5558545628513335,0.3396124865446717,0.5995694294940797,0.6512378902045209
1d35,1.3,3.61,,,1.6875912492916711,1991.0,False,16.95003112506064,20.497248967577413,1991-04-23,PNAS,0027-8424,0.6196627197703625,0.32436311445999283,0.7136706135629709,0.6268388948690348
1d38,1.7,7.94,,,1.6456374055630434,1991.0,False,18.37832710705672,22.33401161649292,1991-04-23,ANTI-CANCER DRUG DES,0266-9536,0.5067575648845831,0.32723358449946177,0.49730893433799783,0.6309651955507715
1d36,1.5,10.91,,,1.8839206160134339,1991.0,False,17.963362292483303,21.78816805640826,1991-04-23,PNAS,0027-8424,0.4779930630307379,0.30462863293864373,0.44958736993182635,0.6013634732687477
1d37,1.8,12.1,,,1.7653846024933273,1991.0,False,18.914707086089678,23.016471016766236,1991-04-23,ANTI-CANCER DRUG DES,0266-9536,0.4341585934696807,0.31575170434158595,0.3663437387872264,0.616254036598493
2d25,1.75,15.7,,,0.0,1991.0,False,18.586707425807752,22.774296394454346,1991-04-23,J BIOL CHEM,0021-9258,0.5483793804568832,0.2500897021887334,0.5789379260853965,0.5211697165410836
1d31,2.6,58.39,,,3.2739278672256873,1991.0,False,23.96375531665602,29.420005287013915,1991-04-25,J MOL BIOL,0022-2836,0.10513096519555076,0.02942231790455687,0.023681377825618945,0.07893792608539649
1d41,1.3,18.52,,,0.0,1991.0,False,17.34166083969785,21.19554257223612,1991-05-07,BIOCHEMISTRY,0006-2960,0.5718215524458796,0.19806243272335844,0.6293505561535702,0.4434876210979548
1d40,1.3,53.05,,,3.779825505902231,1991.0,False,19.830579565651355,24.084058523683716,1991-05-07,J BIOL CHEM,0021-9258,0.2516445401267791,0.0369573017581629,0.11123071402942232,0.09903121636167922
1d39,1.2,0.0,,,0.0,1991.0,False,16.093244329597056,19.568737548157834,1991-05-07,J BIOL CHEM,0021-9258,0.844994617868676,0.7104413347685683,0.9741657696447793,0.9535342662360962
2d34,1.4,0.0,,,1.4785225041939611,1991.0,False,17.03370355184056,20.61600468154518,1991-05-23,BIOCHEMISTRY,0006-2960,0.7078100705657219,0.3455328310010764,0.8424829565841406,0.6555435952637244
1d29,2.5,40.79,,,0.0,1991.0,False,22.173699385263767,27.390815893171514,1991-05-23,BIOCHEMISTRY,0006-2960,0.32663556990790577,0.059203444564047365,0.19483315392895587,0.15087908144958737
295d,1.5,3.95,,,1.5893827837721446,1991.0,False,17.557848191623457,21.283228847053504,1991-05-28,NUCLEIC ACIDS RES,0305-1048,0.5984332017701232,0.3344097595981342,0.6729458198780051,0.6415500538213132
1vtb,2.0,0.0,,,1.1407320804965408,1991.0,False,18.79772596088572,22.89994460825764,1991-05-28,BIOCHEMISTRY,0006-2960,0.6628393732807081,0.36957301758162897,0.7829207032651597,0.6892716182274847
1d23,1.5,4.73,,,0.0,1991.0,False,17.25874882199394,21.06174326107058,1991-05-29,J BIOL CHEM,0021-9258,0.7140892237770601,0.6187656978830284,0.8493003229278795,0.8632938643702907
1d44,2.0,39.36,,,2.8063943042059023,1991.0,False,21.090978117472496,25.755462895643234,1991-06-04,BIOCHEMISTRY,0006-2960,0.21349120918550413,0.06063867958378184,0.08324363114459993,0.1551847865087908
1d43,2.0,31.98,,,2.494082637260398,1991.0,False,20.660993338112483,25.22005321675845,1991-06-04,BIOCHEMISTRY,0006-2960,0.24925248176055495,0.08503767491926803,0.10979547900968784,0.21564406171510586
1d46,2.0,52.89,,,3.3789656936060055,1991.0,False,21.879283546299213,26.737047306932052,1991-06-04,BIOCHEMISTRY,0006-2960,0.16277957182155245,0.037316110513096516,0.049874416935773234,0.09939002511661285
1d45,1.9,23.37,,,2.1860174297735426,1991.0,False,19.865340694018258,24.214751936940765,1991-06-04,BIOCHEMISTRY,0006-2960,0.31575170434158595,0.14101184068891282,0.18012199497667744,0.3362038033728023
1d48,1.0,0.0,,,1.7037161199922366,1991.0,False,15.857688612477126,19.093378063736886,1991-09-11,BIOCHEMISTRY,0006-2960,0.7213252003348881,0.32113383566559023,0.85827054180122,0.6236096160746322
1d49,1.5,18.9,,,2.2220466619341153,1991.0,False,18.42888781918881,22.367832464848586,1991-09-17,J MOL BIOL,0022-2836,0.3969620858748953,0.1933979189092214,0.30498744169357733,0.43577323286688197
2d47,2.0,83.12,,,4.658258605768957,1991.0,False,23.640589763108608,28.93019562572438,1991-10-02,J MOL BIOL,0022-2836,0.08455926324602321,0.012558306422676713,0.016505202726946538,0.034086831718693936
292d,1.0,9.95,,,2.124786727865917,1991.0,False,16.437410638850054,19.815237996650666,1991-10-09,FEBS LETT,0014-5793,0.5152493720846789,0.28094725511302476,0.5105848582705418,0.5681736634373878
1ofx,2.0,46.76,,,3.1195523442325666,1991.0,False,21.522128167237284,26.292323549267554,1991-10-17,PNAS,0027-8424,0.18646094964717141,0.04592752063150341,0.062432723358449946,0.12091855041263007
1d54,1.4,0.0,,,0.0,1992.0,False,16.7079827513884,20.314991816382847,1992-01-06,FEBS J,0014-2956,0.8347087668939123,0.7104413347685683,0.9680660208109078,0.9535342662360962
1ndn,3.0,138.71,,,6.47868510625586,1992.0,False,29.823614804906754,36.735901817067464,1992-01-15,PNAS,0027-8424,0.02978112665949049,0.002511661284535343,0.0023322569070685323,0.0068173663437387875
1cgc,2.2,38.22,,,0.0,1992.0,False,21.115594795457923,26.002818100611023,1992-01-15,EMBO J,0261-4189,0.3688554000717617,0.06386795837818443,0.2565482597775386,0.16343738787226408
1d56,1.7,7.9,,,0.0,1992.0,False,18.034372385830522,22.019252450976687,1992-02-19,BIOCHEMISTRY,0006-2960,0.6444205238607822,0.4700394689630427,0.7569070685324721,0.7761033369214209
1d57,2.0,17.32,,,1.9046077296926143,1992.0,False,19.810968734748435,24.12264409099848,1992-02-19,BIOCHEMISTRY,0006-2960,0.35438344695610574,0.21743810548977396,0.23268747757445282,0.47290993900251166
1d58,1.7,0.0,,,0.0,1992.0,False,20.200000000000003,23.890874894234056,1992-02-20,NUCLEIC ACIDS RES,0305-1048,0.7436909460590838,0.5755292429135271,0.8826695371367062,0.8410477215644062
1d59,2.3,58.18,,,1.5832730523681278,1992.0,False,19.5,24.938949460767965,1992-02-25,NATURE,0028-0836,0.2725750508312403,0.02978112665949049,0.13060638679583783,0.08001435235019734
1d61,1.3,9.43,,,0.0,1992.0,False,16.878096121465816,20.550828767379375,1992-02-26,BIOCHEMISTRY,0006-2960,0.6545867719172348,0.41621815572299964,0.7732328668819519,0.7407606745604592
1d60,2.2,15.9,,,0.0,1992.0,False,19.98280098774496,24.515370197796372,1992-02-26,BIOCHEMISTRY,0006-2960,0.4827771797631862,0.24237531395766057,0.45819878005023323,0.5120200932902763
1vth,1.6,32.26,,,2.7620420371122876,1992.0,False,19.505410787747977,23.68389560361551,1992-03-01,J MOL BIOL,0022-2836,0.30391101542877647,0.08288482238966631,0.16361679224973089,0.21026193039110155
1d62,2.0,12.66,,,0.0,1992.0,False,19.201399450549587,23.514257421823302,1992-03-01,BIOCHEMISTRY,0006-2960,0.5452697045807918,0.31216361679224974,0.5740940078937926,0.6130247578040904
1vti,1.7,47.43,,,3.3477176152173698,1992.0,False,20.683272124606646,25.16511659799744,1992-03-01,J MOL BIOL,0022-2836,0.2199497667743093,0.044851094366702544,0.08754933620380337,0.11822748475062791
1d63,2.0,8.78,,,0.0,1992.0,False,19.00448009687905,23.255686729040114,1992-03-02,J MOL BIOL,0022-2836,0.5947853127616314,0.43523501973448153,0.6681019016864012,0.7545748116254036
1d64,2.1,39.65,,,0.0,1992.0,False,20.879688879616737,25.705519602570067,1992-03-02,BIOCHEMISTRY,0006-2960,0.3773472072718574,0.060279870828848225,0.2687477574452817,0.15446716899892357
1d65,2.2,19.74,,,0.0,1992.0,False,20.177690244985904,24.771275213334384,1992-03-02,J MOL BIOL,0022-2836,0.4529362516445401,0.17832795120200934,0.4011481880157876,0.4074273412271259
1d67,1.6,7.97,,,0.0,1992.0,False,17.72944319138314,21.631320926599322,1992-03-31,ACTA CRYST D,0907-4449,0.6504604712354981,0.46376031575170434,0.7642626480086114,0.7725152493720847
1d75,2.8,90.31,,,4.543059057764417,1992.0,False,26.415652955682354,32.463229638512324,1992-05-07,BIOCHEMISTRY,0006-2960,0.05728979787106805,0.010046645138141371,0.007534983853606028,0.02726946537495515
1d76,1.3,5.32,,,1.7908727086477256,1992.0,False,17.0537803480006,20.58746266611883,1992-05-19,BIOCHEMISTRY,0006-2960,0.57780169836144,0.3139576605669178,0.6401148188015787,0.6146393972012917
1d77,2.4,14.59,,,1.5638841883169334,1992.0,False,20.827924263860815,25.447212656861595,1992-05-30,NUCLEIC ACIDS RES,0305-1048,0.33273531874177725,0.268388948690348,0.2009329027628274,0.5479009687836384
1d79,1.45,11.86,,,0.0,1992.0,False,17.46414727436234,21.30166334935917,1992-06-12,ACTA CRYST D,0907-4449,0.6145197942829804,0.33548618586293505,0.7057768209544313,0.6431646932185145
1d78,1.4,3.95,,,0.0,1992.0,False,16.90845477381071,20.578227444345107,1992-06-12,ACTA CRYST D,0907-4449,0.7356177490730773,0.6600287047003947,0.8744169357732329,0.8857194115536419
1d80,2.2,73.3,,,0.0,1992.0,False,22.89598936421111,28.34061704464053,1992-06-17,PNAS,0027-8424,0.29051548857792125,0.017581628991747398,0.1496232508073197,0.04790096878363832
1d82,2.5,79.05,,,4.235446224923905,1992.0,False,24.87759451327444,30.504360896803416,1992-06-29,ACTA CRYST B,0108-7681,0.0737950005980146,0.014711158952278435,0.012558306422676713,0.040186580552565486
1d81,2.5,40.9,,,2.620989572624296,1992.0,False,22.65484121617621,27.73662658115907,1992-07-07,NUCLEIC ACIDS RES,0305-1048,0.15907188135390501,0.05884463580911374,0.04682454251883746,0.15016146393972013
1d89,2.3,3.95,,,27.78,1992.0,False,23.200000000000003,26.65347469451455,1992-07-17,J MOL BIOL,0022-2836,0.31312044013873935,0.00843200574094008,0.17509867240760674,0.022784355938284893
1d86,2.2,44.33,,,2.935037767890776,1992.0,False,21.97267388607164,26.843498785631414,1992-08-24,BIOCHEMISTRY,0006-2960,0.1737830403061835,0.052027269465374955,0.0563329745245784,0.1359885181198421
1d85,2.5,95.87,,,4.947245986173691,1992.0,False,25.85758692368575,31.7246306527441,1992-08-24,BIOCHEMISTRY,0006-2960,0.05465853366822151,0.008252601363473269,0.0068173663437387875,0.022066738428417654
1d87,2.25,46.62,,,3.003798283708022,1992.0,False,22.253099214838194,27.199963720533084,1992-08-28,BIOCHEMISTRY,0006-2960,0.16122473388350675,0.04700394689630427,0.04915679942590599,0.12360961607463222
1d88,2.0,48.23,,,3.2126773266147737,1992.0,False,21.611894145320008,26.36512555093468,1992-08-28,BIOCHEMISTRY,0006-2960,0.17904556871187657,0.042339433082167206,0.05884463580911374,0.1108719052744887
1da1,2.25,10.72,,,1.4845586030381526,1992.0,False,20.16143883827658,24.595464063085345,1992-10-17,NUCLEIC ACIDS RES,0305-1048,0.40055017342423155,0.3451740222461428,0.3143164693218515,0.6551847865087909
1d90,1.7,0.0,,,1.3405438532627088,1992.0,False,17.919833359695296,21.72413000321343,1992-10-17,NUCLEIC ACIDS RES,0305-1048,0.6914244707570866,0.35773232866881954,0.819519196268389,0.6729458198780051
1d98,2.5,11.84,,,1.3912094857087993,1992.0,False,20.961703318045835,25.62836028462895,1992-10-17,NATURE,0028-0836,0.3531874177729937,0.3362038033728023,0.23017581628991748,0.6444205238607822
1d91,2.1,1.98,,,1.1991411724985852,1992.0,False,19.21121006913092,23.390403120234712,1992-10-17,J MOL BIOL,0022-2836,0.5969381652912332,0.36670254754216003,0.6702547542160029,0.6853247219232149
1d99,2.5,22.49,,,1.8419031514228479,1992.0,False,21.582209808585695,26.40100433342612,1992-10-17,NUCLEIC ACIDS RES,0305-1048,0.24913287884224375,0.14890563329745246,0.10943667025475422,0.3500179404377467
